route_id,service_id,trip_id,direction_id,shape_id
952882,1824824,553043920010312,1,30361
952882,1824824,553044020010312,1,30361
952882,1824824,553044120010312,1,30361
952882,1824824,553044220010312,1,30361
952882,1824824,553044320010312,1,30361
952882,1824824,553044420010312,1,30361
952882,1824824,553044520010312,1,30361
952882,1824824,553044620010312,1,30361
952882,1824824,553044720010312,1,30361
952882,1824824,553044820010312,1,30361
952882,1824824,553044920010312,1,30361
952882,1824824,553045020010312,1,30361
952882,1824824,553045120010312,1,30361
952882,1824824,553045220010312,1,30361
952882,1824824,553045320010312,1,30361
952882,1824824,553045420010312,1,30361
952882,1824824,553045520010312,1,30361
952882,1824824,553045620010312,1,30361
952882,1824824,553045720010312,1,30361
952882,1824824,553045820010312,1,30361
952882,1824824,553045920010312,1,30361
952882,1824824,553046020010312,1,30361
952882,1824824,553046120010312,1,30361
952882,1824824,553046220010312,1,30361
952882,1824824,553046320010312,1,30361
952882,1824824,553046420010312,1,30361
952882,1824824,553046520010312,1,30361
952882,1824824,553046620010312,1,30361
952882,1824824,553046720010312,1,30361
952882,1824824,553046820010312,1,30361
952882,1824824,553046920010312,1,30361
952882,1824824,553047020010312,1,30361
952882,1824824,553047120010312,1,30361
952882,1824824,553047220010312,1,30361
952882,1824824,553047320010312,1,30361
952882,1824824,553047420010312,1,30361
952882,1824824,553047520010312,1,30361
952882,1824824,553047620010312,1,30361
952882,1824824,553047720010312,1,30361
952882,1824824,553047820010312,1,30361
952882,1824824,553047920010312,1,30361
952882,1824824,553048020010312,1,30361
952882,1824824,553048120010312,1,30361
952882,1824824,553048220010312,1,30361
952882,1824824,553048320010312,1,30361
952882,1824824,553048420010312,1,30361
952882,1824824,553048520010312,1,30361
952882,1824824,553048620010312,1,30361
952882,1824824,553048720010312,1,30361
952882,1824824,553048820010312,1,30361
952882,1824824,553048920010312,1,30361
952882,1824824,553049020010312,1,30361
952882,1824824,553049120010312,1,30361
952882,1824824,553049220010312,1,30361
952882,1824824,553049320010312,1,30361
952882,1824824,553049420010312,1,30361
952882,1824824,553049520010312,1,30361
952882,1824824,553049620010312,1,30361
952882,1824824,553049720010312,1,30361
952882,1824824,553049820010312,1,30361
952882,1824824,553049920010312,1,30361
952882,1824824,553050020010312,1,30361
952882,1824824,553050120010312,1,30361
952882,1824824,553050220010312,1,30361
952882,1824824,553050320010312,1,30361
952882,1824824,553050420010312,1,30361
952882,1824824,553050520010312,1,30361
952882,1824824,553050620010312,1,30361
952882,1824824,553050720010312,1,30361
952882,1824824,553050820010312,1,30361
952882,1824824,553050920010312,1,30361
952882,1824824,553051020010312,1,30361
952882,1824824,553051120010312,1,30361
952882,1824824,553051220010312,1,30361
952882,1824824,553051320010312,1,30361
952882,1824824,553051420010312,1,30361
952882,1824824,553051520010312,1,30361
952882,1824824,553051620010312,1,30361
952882,1824824,553051720010312,1,30361
952882,1824824,553051820010312,1,30361
952883,1824825,553162223010312,1,30363
952883,1824825,553162323010312,1,30363
952883,1824825,553162423010312,1,30363
952883,1824825,553162523010312,1,30363
952883,1824825,553162623010312,1,30363
952883,1824825,553162723010312,1,30363
952883,1824825,553162823010312,1,30363
952883,1824825,553162923010312,1,30363
952883,1824825,553163023010312,1,30363
952883,1824825,553163123010312,1,30363
952883,1824825,553163223010312,1,30363
952883,1824825,553163323010312,1,30363
952883,1824825,553163423010312,1,30363
952883,1824825,553163523010312,1,30363
952883,1824825,553163623010312,1,30363
952883,1824825,553163723010312,1,30363
952883,1824825,553163823010312,1,30363
952883,1824825,553163923010312,1,30363
952883,1824825,553164023010312,1,30363
952883,1824825,553164123010312,1,30363
952883,1824825,553164223010312,1,30363
952883,1824825,553164323010312,1,30363
952883,1824825,553164423010312,1,30363
952883,1824825,553164523010312,1,30363
952883,1824825,553164623010312,1,30363
952883,1824825,553164723010312,1,30363
952883,1824825,553164823010312,1,30363
952883,1824825,553164923010312,1,30363
952883,1824825,553165023010312,1,30363
952883,1824825,553165123010312,1,30363
952883,1824825,553165223010312,1,30363
952883,1824825,553165323010312,1,30363
952883,1824825,553165423010312,1,30363
952883,1824825,553165523010312,1,30363
952883,1824825,553165623010312,1,30363
952883,1824825,553165723010312,1,30363
952883,1824825,553165823010312,1,30363
952883,1824825,553165923010312,1,30363
952883,1824825,553166023010312,1,30363
952883,1824825,553166123010312,1,30363
952883,1824825,553166223010312,1,30363
952883,1824825,553166323010312,1,30363
952883,1824825,553166423010312,1,30363
952883,1824825,553166523010312,1,30363
952884,1824826,553576920010312,1,30374
952884,1824826,553577020010312,1,30374
952884,1824826,553577120010312,1,30374
